KEY,SECTION,ELEMENT,ENGLISH (EN),ARMENIAN (HY),RUSSIAN (RU),IMAGE URL / ASSET,NOTES,CURRENT SOURCE
home.services.learnMore,Services Overview,Card hover link,Learn more,,,,Home services section,src/i18n/locales/en.json
home.services.items.implants.title,Services Overview,Service 1 title,Dental Implants,,,,Home services card,src/i18n/locales/en.json
home.services.items.implants.desc,Services Overview,Service 1 description,"Permanent, natural-looking tooth replacements using titanium implants.",,,,Home services card,src/i18n/locales/en.json
home.services.items.whitening.title,Services Overview,Service 2 title,Teeth Whitening,,,,Home services card,src/i18n/locales/en.json
home.services.items.whitening.desc,Services Overview,Service 2 description,Professional whitening treatments that brighten your smile up to 8 shades.,,,,Home services card,src/i18n/locales/en.json
home.services.items.ortho.title,Services Overview,Service 3 title,Orthodontics,,,,Home services card,src/i18n/locales/en.json
home.services.items.ortho.desc,Services Overview,Service 3 description,Braces and clear aligners for perfectly aligned teeth at any age.,,,,Home services card,src/i18n/locales/en.json
home.services.items.veneers.title,Services Overview,Service 4 title,Cosmetic Veneers,,,,Home services card,src/i18n/locales/en.json
home.services.items.veneers.desc,Services Overview,Service 4 description,"Ultra-thin porcelain veneers for a flawless, Hollywood-worthy smile.",,,,Home services card,src/i18n/locales/en.json
home.services.items.rootCanal.title,Services Overview,Service 5 title,Root Canal,,,,Home services card,src/i18n/locales/en.json
home.services.items.rootCanal.desc,Services Overview,Service 5 description,Pain-free endodontic treatment to save your natural tooth.,,,,Home services card,src/i18n/locales/en.json
home.services.items.pediatric.title,Services Overview,Service 6 title,Pediatric Dentistry,,,,Home services card,src/i18n/locales/en.json
home.services.items.pediatric.desc,Services Overview,Service 6 description,"Gentle, friendly dental care tailored for children of all ages.",,,,Home services card,src/i18n/locales/en.json
home.whyUs.image,Why Choose Us,Main section image,,,,https://images.unsplash.com/photo-1629909613654-28e377c37b09?w=700&h=600&fit=crop&auto=format,Replace with approved clinic image,src/app/pages/Home.tsx
home.whyUs.badge,Why Choose Us,Section badge,Why Choose Us,,,,Why choose us section,src/i18n/locales/en.json
home.whyUs.title,Why Choose Us,Section title,Where Advanced Technology Meets Gentle Care,,,,Why choose us section,src/i18n/locales/en.json
home.whyUs.desc,Why Choose Us,Section description,Our clinic combines cutting-edge dental technology with a warm patient-first approach. Every treatment is personalized to your unique needs and comfort level.,,,,Why choose us section,src/i18n/locales/en.json
home.whyUs.rating,Why Choose Us,Google rating label,Rated 5.0 on Google,,,,Replace with real rating if different,src/i18n/locales/en.json
home.whyUs.ratingBase,Why Choose Us,Google rating base,Based on 1240 reviews,,,,Replace with real review count,src/i18n/locales/en.json
home.whyUs.features.painFree.title,Why Choose Us,Feature 1 title,Pain-Free Treatments,,,,Feature card,src/i18n/locales/en.json
home.whyUs.features.painFree.desc,Why Choose Us,Feature 1 description,Advanced anesthesia for a comfortable experience.,,,,Feature card,src/i18n/locales/en.json
home.whyUs.features.certified.title,Why Choose Us,Feature 2 title,Certified Specialists,,,,Feature card,src/i18n/locales/en.json
home.whyUs.features.certified.desc,Why Choose Us,Feature 2 description,Board-certified dentists with international training.,,,,Feature card,src/i18n/locales/en.json
home.whyUs.features.family.title,Why Choose Us,Feature 3 title,Family Friendly,,,,Feature card,src/i18n/locales/en.json
home.whyUs.features.family.desc,Why Choose Us,Feature 3 description,Welcoming environment for patients of all ages.,,,,Feature card,src/i18n/locales/en.json
home.whyUs.features.hours.title,Why Choose Us,Feature 4 title,Flexible Hours,,,,Feature card,src/i18n/locales/en.json
home.whyUs.features.hours.desc,Why Choose Us,Feature 4 description,Evening and weekend appointments available.,,,,Feature card,src/i18n/locales/en.json
home.whyUs.learnMore,Why Choose Us,Button,Learn About Us,,,,Link goes to /about,src/i18n/locales/en.json
home.testimonials.badge,Testimonials,Section badge,Patient Stories,,,,Testimonials section,src/i18n/locales/en.json
home.testimonials.title,Testimonials,Section title,What Our Patients Say,,,,Testimonials section,src/i18n/locales/en.json
home.testimonials.readAll,Testimonials,Read all link,Read all reviews,,,,Link goes to /reviews,src/i18n/locales/en.json
home.testimonials.items.0.name,Testimonials,Testimonial 1 name,Sarah Mitchell,,,,Placeholder review content,src/i18n/locales/en.json
home.testimonials.items.0.service,Testimonials,Testimonial 1 service,Porcelain Veneers,,,,Placeholder review content,src/i18n/locales/en.json
home.testimonials.items.0.text,Testimonials,Testimonial 1 text,Absolutely incredible experience. Dr. Kovalenko transformed my smile with veneers and I couldn't be happier. The whole team was warm and professional.,,,,Placeholder review content,src/i18n/locales/en.json
home.testimonials.items.1.name,Testimonials,Testimonial 2 name,James Thornton,,,,Placeholder review content,src/i18n/locales/en.json
home.testimonials.items.1.service,Testimonials,Testimonial 2 service,Dental Implants,,,,Placeholder review content,src/i18n/locales/en.json
home.testimonials.items.1.text,Testimonials,Testimonial 2 text,I was terrified of dental procedures but the team here made me feel completely at ease. My implants look and feel completely natural.,,,,Placeholder review content,src/i18n/locales/en.json
home.testimonials.items.2.name,Testimonials,Testimonial 3 name,Elena Vasquez,,,,Placeholder review content,src/i18n/locales/en.json
home.testimonials.items.2.service,Testimonials,Testimonial 3 service,Teeth Whitening,,,,Placeholder review content,src/i18n/locales/en.json
home.testimonials.items.2.text,Testimonials,Testimonial 3 text,Best dental clinic I have ever visited. Modern equipment kind staff and results that exceeded my expectations. Highly recommended!,,,,Placeholder review content,src/i18n/locales/en.json
home.cta.title,CTA Banner,Title,Ready for a Healthier Brighter Smile?,,,,Bottom CTA section,src/i18n/locales/en.json
home.cta.desc,CTA Banner,Description,Book your free consultation today. Our specialists will assess your needs and create a personalized treatment plan just for you.,,,,Bottom CTA section,src/i18n/locales/en.json
home.cta.button,CTA Banner,Button,Schedule Free Consultation,,,,Link goes to /contact,src/i18n/locales/en.json
footer.description,Footer,Brand description,Modern dental care with a personal touch. Our team of specialists is dedicated to your smile and long-term oral health.,,,,Shared footer text,src/i18n/locales/en.json
footer.address,Footer,Address,"5 Aram Khachatryan St.
Yerevan 0033
Armenia",,,,Verified clinic address,src/i18n/locales/en.json
footer.website,Footer,Website,matikyan.am,,,,Verified clinic website,src/i18n/locales/en.json
footer.hours1,Footer,Hours - weekdays,Mon - Fri: 10:00 - 20:00,,,,Verified business hours,src/i18n/locales/en.json
footer.hours2,Footer,Hours - Saturday,Sat: 10:00 - 14:00,,,,Verified business hours,src/i18n/locales/en.json
footer.hours3,Footer,Hours - Sunday,Sun: Closed,,,,Verified business hours,src/i18n/locales/en.json
footer.copyright,Footer,Copyright,© 2026 Matikyan Stomatology Center. All rights reserved.,,,,Shared footer legal text,src/i18n/locales/en.json
